identification_number,ite1,ite2,ite3,ite4,ite5,ite6
1,Ti,NA,NA,NA,NA,NA
2,Ti,NA,NA,NA,NA,NA
3,Ti,TiTs,TiTeTs,TiTmTeTs,TiTmTeTsAeRia,NA
4,Ti,TiTs,TiTmTs,NA,NA,NA
5,Ti,TiTh,TiTeTh,TiTeThTs,TiTmTeThTs,NA
6,Ti,TiTh,TiTeTh,TiTmTeTh,TiTmTeThTs,TiTmTeThTsAeRia
7,Ti,TiTs,TiThTs,NA,NA,NA
8,Ti,TiTe,TiTmTe,TiTmTeAeRia,NA,NA
9,Ti,TiTs,TiTmTs,TiTmTeTs,NA,NA
10,Ti,TiTe,TiTeTs,TiTeThTs,TiTeThTsAeRia,TiTmTeThTsAeRia
11,Ti,TiTh,NA,NA,NA,NA
12,Ti,TiTm,TiTmTe,TiTmTeAeRia,TiTmTeTsAeRia,NA
13,Ti,TiTs,TiTmTs,NA,NA,NA
14,Ti,TiTh,TiTmTh,NA,NA,NA
15,Ti,TiTe,TiTmTe,TiTmTeTs,NA,NA
16,Ti,TiTe,TiTmTe,TiTmTeTs,TiTmTeTsAeRia,NA
17,Ti,TiTm,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,TiTmTeThTsAeRia
18,Ti,TiTm,TiTmTe,TiTmTeAeRia,NA,NA
19,Ti,TiTh,TiTmTh,TiTmThTs,NA,NA
20,Ti,TiTm,TiTmTs,NA,NA,NA
21,Ti,TiTm,TiTmTh,TiTmTeTh,NA,NA
22,Ti,TiTm,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
23,Ti,NA,NA,NA,NA,NA
24,Ti,TiTm,TiTmTe,TiTmTeTs,NA,NA
25,Ti,TiTm,TiTmTs,TiTmTeTs,NA,NA
26,Ti,TiTm,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
27,Ti,TiTh,TiTeTh,TiTmTeTh,NA,NA
28,Ti,TiTs,TiTmTs,TiTmTeTs,NA,NA
29,Ti,TiTm,TiTmTs,TiTmTeTs,NA,NA
30,Ti,TiTm,TiTmTs,NA,NA,NA
31,Ti,TiTm,TiTmTs,NA,NA,NA
32,Ti,TiTm,TiTmTe,NA,NA,NA
33,Ti,TiTm,TiTmTs,TiTmThTs,TiTmTeThTs,NA
34,Ti,TiTm,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
35,Ti,TiTm,TiTmTe,NA,NA,NA
36,Ti,TiTs,TiTmTs,NA,NA,NA
37,Ti,NA,NA,NA,NA,NA
38,Ti,TiTs,TiTmTs,NA,NA,NA
39,Ti,TiTe,TiTeTs,TiTmTeTs,TiTmTeTsAeRia,NA
40,Ti,TiTs,TiTmTs,NA,NA,NA
41,Ti,NA,NA,NA,NA,NA
42,Ti,NA,NA,NA,NA,NA
43,Ti,TiTe,TiTmTe,TiTmTeTh,TiTmTeThAeRia,TiTmTeThTsAeRia
44,Ti,TiTh,NA,NA,NA,NA
45,Ti,TiTh,TiTeTh,TiTeThAeRia,NA,NA
46,Ti,TiTm,TiTmTe,TiTmTeTs,TiTmTeThTs,NA
47,Ti,NA,NA,NA,NA,NA
48,Ti,TiTh,NA,NA,NA,NA
49,Ti,TiTs,TiTmTs,NA,NA,NA
50,Ti,TiTm,NA,NA,NA,NA
51,Ti,TiTh,TiTeTh,TiTmTeTh,NA,NA
52,Ti,TiTm,TiTmTs,TiTmTeTs,NA,NA
53,Ti,TiTm,TiTmTs,TiTmTeTs,NA,NA
54,Ti,TiTh,TiTmTh,TiTmThTs,NA,NA
55,Ti,TiTs,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
56,Ti,TiTm,TiTmTs,NA,NA,NA
57,Ti,TiTs,TiTmTs,TiTmTeTs,NA,NA
58,Ti,TiTe,TiTmTe,TiTmTeTs,NA,NA
59,Ti,TiTe,TiTeTs,TiTmTeTs,NA,NA
60,Ti,TiTh,TiTmTh,TiTmThTs,NA,NA
61,Ti,TiTh,TiTeTh,TiTmTeTh,TiTmTeThAeRia,NA
62,Ti,TiTh,TiTmTh,TiTmThTs,NA,NA
63,Ti,TiTm,TiTmTs,TiTmThTs,TiTmTeThTs,NA
64,Ti,TiTm,TiTmTs,NA,NA,NA
65,Ti,TiTh,TiTmTh,TiTmThTs,TiTmTeThTs,TiTmTeThTsAeRia
66,Ti,TiTm,TiTmTs,TiTmTeTs,NA,NA
67,Ti,TiTs,TiTmTs,TiTmTeTs,TiTmTeThTs,NA
68,Ti,TiTm,TiTmTh,NA,NA,NA
69,Ti,TiTm,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
70,Ti,TiTm,TiTmTs,NA,NA,NA
71,Ti,TiTm,TiTmTe,TiTmTeTs,TiTmTeTsAeRia,NA
72,Ti,TiTh,TiTeTh,TiTmTeTh,TiTmTeThAeRia,TiTmTeThTsAeRia
73,Ti,TiTh,TiTmTh,TiTmThTs,NA,NA
74,Ti,TiTs,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
75,Ti,TiTm,TiTmTs,TiTmThTs,TiTmTeThTs,TiTmTeThTsAeRia
76,Ti,TiTm,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
77,Ti,TiTs,TiTeTs,TiTmTeTs,TiTmTeTsAeRia,NA
78,Ti,TiTh,TiTeTh,NA,NA,NA
79,Ti,TiTs,TiTeTs,NA,NA,NA
80,Ti,TiTm,TiTmTs,TiTmTeTs,NA,NA
81,Ti,NA,NA,NA,NA,NA
82,Ti,TiTh,TiTeTh,NA,NA,NA
83,Ti,TiTm,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
84,Ti,TiTs,TiTeTs,TiTmTeTs,TiTmTeTsAeRia,NA
85,Ti,TiTs,TiTmTs,NA,NA,NA
86,Ti,TiTs,TiTmTs,TiTmThTs,TiTmTeThTs,TiTmTeThTsAeRia
87,Ti,TiTh,TiTeTh,TiTeThTs,NA,NA
88,Ti,TiTe,TiTeTs,TiTmTeTs,NA,NA
89,Ti,TiTm,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
90,Ti,TiTs,TiTeTs,TiTeTsAeRia,NA,NA
91,Ti,TiTh,TiTeTh,TiTeThTs,NA,NA
92,Ti,TiTh,TiTeTh,TiTeThAeRia,NA,NA
93,Ti,TiTh,TiThTs,NA,NA,NA
94,Ti,TiTm,TiTmTs,TiTmTeTs,NA,NA
95,Ti,TiTs,TiTmTs,TiTmTeTs,TiTmTeTsAeRia,NA
96,Ti,NA,NA,NA,NA,NA
97,Ti,TiTs,TiTmTs,TiTmTeTs,NA,NA
98,Ti,NA,NA,NA,NA,NA
99,Ti,TiTh,TiTmTh,NA,NA,NA
