identification_number,build_period,build_period_id,family,family_id,home_size,home_size_id,home_type,home_type_id
0,2011-,6,5,5,150-200,5,town,8
1,2011-,6,5,5,150-200,5,town,8
2,-1946,0,4,4,100-125,3,town,8
3,2011-,6,5,5,150-200,5,town,8
4,2011-,6,5,5,150-200,5,town,8
5,2011-,6,5,5,150-200,5,town,8
6,-1946,0,3,3,100-125,3,town,8
7,2011-,6,5,5,150-200,5,town,8
8,,,,,,,,
9,1975-1987,3,5,5,125-150,4,town,8
10,2011-,6,5,5,150-200,5,town,8
11,2011-,6,5,5,150-200,5,town,8
12,2011-,6,5,5,150-200,5,town,8
13,2011-,6,5,5,150-200,5,town,8
14,,,,,,,,
15,-1946,0,4,4,150-200,5,detached,6
16,2011-,6,5,5,150-200,5,town,8
17,2011-,6,5,5,150-200,5,town,8
18,1988-1999,4,3,3,300-500,7,detached,6
19,1988-1999,4,4,4,150-200,5,semi_detached,7
20,2011-,6,5,5,150-200,5,town,8
21,1975-1987,3,2,2,150-200,5,semi_detached,7
22,1975-1987,3,2,2,100-125,3,town,8
23,-1946,0,2,2,100-125,3,apartment,0
24,2011-,6,5,5,150-200,5,town,8
25,1975-1987,3,3,3,100-125,3,town,8
26,2011-,6,5,5,150-200,5,town,8
27,1946-1964,1,4,4,125-150,4,town,8
28,2011-,6,5,5,150-200,5,town,8
29,2011-,6,5,5,150-200,5,town,8
30,2011-,6,5,5,150-200,5,town,8
31,2011-,6,5,5,150-200,5,town,8
32,2011-,6,5,5,150-200,5,town,8
33,2011-,6,5,5,125-150,4,semi_detached,7
34,2011-,6,5,5,150-200,5,town,8
35,2011-,6,5,5,200-300,6,detached,6
36,2011-,6,5,5,150-200,5,town,8
37,2011-,6,5,5,150-200,5,town,8
38,2011-,6,5,5,150-200,5,town,8
39,-1946,0,2,2,150-200,5,town,8
40,2011-,6,5,5,150-200,5,town,8
41,1975-1987,3,2,2,100-125,3,town,8
42,,,,,,,,
43,-1946,0,3,3,125-150,4,detached,6
44,2011-,6,5,5,150-200,5,town,8
45,2011-,6,2,2,150-200,5,detached,6
46,2011-,6,5,5,150-200,5,town,8
47,2011-,6,2,2,125-150,4,semi_detached,7
48,2011-,6,5,5,150-200,5,town,8
49,-1946,0,5,5,100-125,3,town,8
50,-1946,0,5,5,100-125,3,town,8
51,1975-1987,3,2,2,125-150,4,town,8
52,2011-,6,5,5,150-200,5,town,8
53,2011-,6,3,3,125-150,4,town,8
54,2011-,6,5,5,150-200,5,town,8
55,1975-1987,3,2,2,100-125,3,town,8
56,1946-1964,1,5,5,150-200,5,semi_detached,7
57,,,,,,,,
58,2011-,6,5,5,150-200,5,town,8
59,-1946,0,2,2,200-300,6,semi_detached,7
60,2011-,6,5,5,150-200,5,town,8
61,1988-1999,4,2,2,150-200,5,detached,6
62,2011-,6,2,2,150-200,5,detached,6
63,2011-,6,5,5,150-200,5,town,8
64,1975-1987,3,4,4,125-150,4,town,8
